Name,Year
The Big Easy,1987
The Dead ,1987
Matewan,1987
Swimming to Cambodia ,1987
Tough Guys Don't Dance ,1987
 Stand and Deliver ,1988
Hairspray ,1988
Patti Rocks,1988
The Thin Blue Line,1988
Torch Song Trilogy ,1988
"Sex, Lies and Videotape",1989
Drugstore Cowboy ,1989
Heat and Sunlight,1989
Mystery Train,1989
True Love,1989
 The Grifters ,1990
Henry: Potrait of a Serial Killer,1990
The Plot Against Harry,1990
Pump Up the Volume ,1990
To Sleep with Anger,1990
 Rambling Rose ,1991
City of Hope,1991
Hangin' with the Homeboys,1991
Homicide,1991
My Own Private Idaho ,1991
 The Player ,1992
Bad Lieutenant ,1992
Gas Food Lodging,1992
Mississippi Masala,1992
One False Move ,1992
 Short Cuts ,1993
Equinox,1993
Much Ado About Nothing ,1993
Ruby in Paradise,1993
The Wedding Banquet,1993
 Pulp Fiction ‡ ,1994
Bullets over Broadway ,1994
Eat Drink Man Woman,1994
Mrs. Parker and the Vicious Circle ,1994
Wes Craven's New Nightmare ,1994
 Leaving Las Vegas ,1995
The Addiction,1995
Living in Oblivion,1995
Safe,1995
The Secret of Roan Inish ,1995
 Fargo ‡ ,1996
Dead Man ,1996
The Funeral,1996
Lone Star ,1996
Welcome to the Dollhouse ,1996
 The Apostle ,1997
Chasing Amy ,1997
Loved,1997
Ulee's Gold ,1997
Waiting for Guffman ,1997
 Gods and Monsters ,1998
Affliction ,1998
Claire Dolan,1998
A Soldier's Daughter Never Cries,1998
Velvet Goldmine,1998
 Election ,1999
Cookie's Fortune ,1999
The Limey ,1999
The Straight Story ,1999
Sugar Town,1999
Crouching Tiger  Hidden Dragon,2000
Before Night Falls,2000
George Washington,2000
Ghost Dog: The Way of the Samurai,2000
Requiem for a Dream,2000
Memento,2001
Hedwig and the Angry Inch,2001
L.I.E.,2001
Things Behind the Sun,2001
Waking Life,2001
Far from Heaven,2002
The Good Girl,2002
Lovely & Amazing,2002
Secretary,2002
Tully,2002
American Splendor,2003
In America,2003
Raising Victor Vargas,2003
Shattered Glass,2003
Sideways,2004
Baadasssss!,2004
Maria Full of Grace,2004
Primer,2004
Good Night and Good Luck,2005
The Squid and the Whale,2005
The Three Burials of Melquiades Estrada,2005
American Gun,2006
The Dead Girl,2006
Half Nelson,2006
Pan's Labyrinth,2006
Juno,2007
The Diving Bell and the Butterfly,2007
I'm Not There,2007
A Mighty Heart,2007
Paranoid Park,2007
The Wrestler,2008
Ballast,2008
Frozen River,2008
Rachel Getting Married,2008
Wendy and Lucy,2008
(500) Days of Summer,2009
Amreeka,2009
The Last Station,2009
Sin Nombre,2009
127 Hours,2010
Greenberg,2010
The Kids Are All Right,2010
Winter's Bone,2010
The Artist,2010
50/50,2010
Beginners,2010
The Descendants,2010
Drive,2010
Take Shelter,2010
Silver Linings Playbook,2012
Beasts of the Southern Wild,2012
Bernie,2012
Keep the Lights On,2012
Moonrise Kingdom,2012
All Is Lost,2013
Frances Ha,2013
Inside Llewyn Davis,2013
Nebraska,2013
Birdman,2014
Love Is Strange,2014
Selma,2014
Whiplash,2014
Anomalisa,2015
Beasts of No Nation,2015
Tangerine,2015
American Honey,2016
Chronic,2016
Jackie,2016
After Hours,2016
Good Night  and Good Luck,2005
 Sense and Sensibility ,1995
 Fargo ,1996
Big Night,1996
The Crucible,1996
Evita,1996
Hamlet,1996
Jerry Maguire ,1996
Lone Star,1996
 L.A. Confidential ,1997
As Good as It Gets ,1997
Boogie Nights,1997
Donnie Brasco,1997
The Full Monty ,1997
Wag the Dog,1997
The Wings of the Dove,1997
 Saving Private Ryan ,1998
Life Is Beautiful ,1998
Out of Sight,1998
Pleasantville,1998
Shakespeare in Love ,1998
A Simple Plan,1998
The Thin Red Line ,1998
 American Beauty ,1999
Being John Malkovich,1999
The Cider House Rules ,1999
The Green Mile ,1999
Magnolia,1999
Man on the Moon,1999
The Sixth Sense ,1999
Three Kings,1999
 Gladiator ,2000
Cast Away,2000
Quills,2000
Thirteen Days,2000
You Can Count On Me,2000
 A Beautiful Mind ,2001
Ali,2001
Moulin Rouge! ,2001
The Shipping News,2001
 Chicago ,2002
Adaptation.,2002
Catch Me If You Can,2002
Road to Perdition,2002
 The Lord of the Rings: The Return of the King ,2003
Finding Nemo,2003
The Last Samurai,2003
Lost in Translation ,2003
 Sideways ,2004
Collateral,2004
The Phantom of the Opera,2004
Ray ,2004
 Brokeback Mountain ,2005
Capote ,2005
Cinderella Man,2005
Crash ,2005
"Good Night, and Good Luck. ",2005
King Kong,2005
Memoirs of a Geisha,2005
Munich ,2005
Walk the Line,2005
 The Departed ,2006
Blood Diamond,2006
Dreamgirls,2006
Letters from Iwo Jima ,2006
Little Miss Sunshine ,2006
Notes on a Scandal,2006
United 93,2006
 No Country for Old Men ,2007
Into the Wild,2007
Juno ,2007
The Kite Runner,2007
Sweeney Todd: The Demon Barber of Fleet Street,2007
 Slumdog Millionaire ,2008
Changeling,2008
The Dark Knight,2008
Doubt,2008
Milk ,2008
WALL-E,2008
 The Hurt Locker ,2009
An Education ,2009
Invictus,2009
Nine,2009
A Serious Man ,2009
Up ,2009
 The Social Network ,2010
127 Hours ,2010
The Town,2010
Toy Story 3 ,2010
True Grit ,2010
Winter's Bone ,2010
 The Artist ,2011
Extremely Loud and Incredibly Close ,2011
Midnight in Paris ,2011
The Tree of Life ,2011
 Argo ,2012
Beasts of the Southern Wild ,2012
Les Misérables ,2012
The Master,2012
Silver Linings Playbook ,2012
 12 Years a Slave ,2013
American Hustle ,2013
Dallas Buyers Club ,2013
Her ,2013
Nebraska ,2013
Saving Mr. Banks,2013
The Wolf of Wall Street ,2013
 Boyhood ,2014
Birdman ,2014
Gone Girl,2014
The Grand Budapest Hotel ,2014
Nightcrawler,2014
Unbroken,2014
Whiplash ,2014
 Spotlight ,2015
The Big Short ,2015
Bridge of Spies ,2015
Brooklyn ,2015
The Martian ,2015
Sicario,2015
Star Wars: The Force Awakens,2015
 La La Land ,2016
Arrival ,2016
Fences ,2016
Loving,2016
Sully,2016
Wings,1927
The Racket,1927
7th Heaven,1927
The Broadway Melody,1928
Alibi,1928
Hollywood Revue,1928
In Old Arizona,1928
The Patriot,1928
All Quiet on the Western Front,1929
The Big House,1929
Disraeli,1929
The Divorcee,1929
The Love Parade,1929
Cimarron,1930
East Lynne,1930
The Front Page,1930
Skippy,1930
Trader Horn,1930
Grand Hotel,1931
Arrowsmith,1931
Bad Girl,1931
The Champ,1931
Five Star Final,1931
One Hour with You,1931
Shanghai Express,1931
The Smiling Lieutenant,1931
Cavalcade,1932
42nd Street,1932
A Farewell to Arms,1932
I Am a Fugitive from a Chain Gang,1932
Lady for a Day,1932
Little Women,1932
The Private Life of Henry VIII,1932
She Done Him Wrong,1932
Smilin' Through,1932
State Fair,1932
It Happened One Night,1934
The Barretts of Wimpole Street,1934
Cleopatra,1934
Flirtation Walk,1934
The Gay Divorcee,1934
Here Comes the Navy,1934
The House of Rothschild,1934
Imitation of Life,1934
One Night of Love,1934
The Thin Man,1934
Viva Villa!,1934
The White Parade,1934
Mutiny on the Bounty,1935
Alice Adams,1935
Broadway Melody of 1936,1935
Captain Blood,1935
David Copperfield,1935
The Informer,1935
The Lives of a Bengal Lancer,1935
A Midsummer Night's Dream,1935
Les Misérables,1935
Naughty Marietta,1935
Ruggles of Red Gap,1935
Top Hat,1935
The Great Ziegfeld,1936
Anthony Adverse,1936
Dodsworth,1936
Libeled Lady,1936
Mr. Deeds Goes to Town,1936
Romeo and Juliet,1936
San Francisco,1936
The Story of Louis Pasteur,1936
A Tale of Two Cities,1936
Three Smart Girls,1936
The Life of Emile Zola,1937
The Awful Truth,1937
Captains Courageous,1937
Dead End,1937
The Good Earth,1937
In Old Chicago,1937
Lost Horizon,1937
One Hundred Men and a Girl,1937
Stage Door,1937
A Star Is Born,1937
You Can't Take It With You,1938
The Adventures of Robin Hood,1938
Alexander's Ragtime Band,1938
Boys Town,1938
The Citadel,1938
Four Daughters,1938
Grand Illusion,1938
Jezebel,1938
Pygmalion,1938
Test Pilot,1938
Gone with the Wind,1939
Dark Victory,1939
Goodbye  Mr. Chips,1939
Love Affair,1939
Mr. Smith Goes to Washington,1939
Ninotchka,1939
Of Mice and Men,1939
Stagecoach,1939
The Wizard of Oz,1939
Wuthering Heights,1939
Rebecca,1940
All This and Heaven Too,1940
Foreign Correspondent,1940
The Grapes of Wrath,1940
The Great Dictator,1940
Kitty Foyle,1940
The Letter,1940
The Long Voyage Home,1940
Our Town,1940
The Philadelphia Story,1940
How Green Was My Valley,1941
Blossoms in the Dust,1941
Citizen Kane,1941
Here Comes Mr. Jordan,1941
Hold Back the Dawn,1941
The Little Foxes,1941
The Maltese Falcon,1941
One Foot in Heaven,1941
Sergeant York,1941
Suspicion,1941
Mrs. Miniver,1942
The Invaders,1942
Kings Row,1942
The Magnificent Ambersons,1942
The Pied Piper,1942
The Pride of the Yankees,1942
Random Harvest,1942
The Talk of the Town,1942
Wake Island,1942
Yankee Doodle Dandy,1942
Casablanca,1943
For Whom the Bell Tolls,1943
Heaven Can Wait,1943
The Human Comedy,1943
In Which We Serve,1943
Madame Curie,1943
The More the Merrier,1943
The Ox-Bow Incident,1943
The Song of Bernadette,1943
Watch on the Rhine,1943
Going My Way,1944
Double Indemnity,1944
Gaslight,1944
Since You Went Away,1944
Wilson,1944
The Lost Weekend,1945
Anchors Aweigh,1945
The Bells of St. Mary's,1945
Mildred Pierce,1945
Spellbound,1945
The Best Years of Our Lives,1946
Henry V,1946
It's a Wonderful Life,1946
The Razor's Edge,1946
The Yearling,1946
Gentleman's Agreement,1947
The Bishop's Wife,1947
Crossfire,1947
Great Expectations,1947
Miracle on 34th Street,1947
Hamlet,1948
Johnny Belinda,1948
The Red Shoes,1948
The Snake Pit,1948
The Treasure of the Sierra Madre,1948
All the King's Men,1949
Battleground,1949
The Heiress,1949
A Letter to Three Wives,1949
Twelve O'Clock High,1949
All About Eve,1950
Born Yesterday,1950
Father of the Bride,1950
King Solomon's Mines,1950
Sunset Boulevard,1950
An American in Paris,1951
Decision Before Dawn,1951
A Place in the Sun,1951
Quo Vadis,1951
A Streetcar Named Desire,1951
The Greatest Show on Earth,1952
High Noon,1952
Ivanhoe,1952
Moulin Rouge,1952
The Quiet Man,1952
From Here to Eternity,1953
Julius Caesar,1953
The Robe,1953
Roman Holiday,1953
Shane,1953
On the Waterfront,1954
The Caine Mutiny,1954
The Country Girl,1954
Seven Brides for Seven Brothers,1954
Three Coins in the Fountain,1954
Marty,1955
Love Is a Many-Splendored Thing,1955
Mister Roberts,1955
Picnic,1955
The Rose Tattoo,1955
Around the World in 80 Days,1956
Friendly Persuasion,1956
Giant,1956
The King and I,1956
The Ten Commandments,1956
The Bridge on the River Kwai,1957
12 Angry Men,1957
Peyton Place,1957
Sayonara,1957
Witness for the Prosecution,1957
Gigi,1958
Auntie Mame,1958
Cat on a Hot Tin Roof,1958
The Defiant Ones,1958
Separate Tables,1958
Ben-Hur,1959
Anatomy of a Murder,1959
The Diary of Anne Frank,1959
The Nun's Story,1959
Room at the Top,1959
The Alamo,1960
Sons and Lovers,1960
The Sundowners,1960
West Side Story,1961
Fanny,1961
The Guns of Navarone,1961
The Longest Day,1962
The Music Man,1962
Mutiny on the Bounty,1962
To Kill a Mockingbird,1962
America America,1963
Cleopatra,1963
How the West Was Won,1963
Lilies of the Field,1963
My Fair Lady,1964
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964
Mary Poppins,1964
Zorba the Greek,1964
The Sound of Music,1965
Darling,1965
Doctor Zhivago,1965
Ship of Fools,1965
A Thousand Clowns,1965
A Man for All Seasons,1966
Alfie,1966
The Russians Are Coming  the Russians Are Coming,1966
The Sand Pebbles,1966
Doctor Dolittle,1967
The Graduate,1967
Guess Who's Coming to Dinner,1967
Oliver!,1968
Funny Girl,1968
The Lion in Winter,1968
Rachel Rachel,1968
Romeo and Juliet,1968
Anne of the Thousand Days,1969
Butch Cassidy and the Sundance Kid,1969
Hello Dolly!,1969
Patton,1970
Airport,1970
Five Easy Pieces,1970
Love Story,1970
The French Connection,1971
A Clockwork Orange,1971
Fiddler on the Roof,1971
The Last Picture Show,1971
Nicholas and Alexandra,1971
The Godfather,1972
Deliverance,1972
The Emigrants,1972
Sounder,1972
The Sting,1973
American Graffiti,1973
Cries and Whispers,1973
The Exorcist,1973
A Touch of Class,1973
The Godfather Part II,1974
The Conversation,1974
Lenny,1974
The Towering Inferno,1974
One Flew Over the Cuckoo's Nest,1975
Nashville,1975
Rocky,1976
Bound for Glory,1976
Network,1976
The Goodbye Girl,1977
Julia,1977
Star Wars,1977
The Turning Point,1977
The Deer Hunter,1978
Coming Home,1978
Heaven Can Wait,1978
An Unmarried Woman,1978
Kramer vs. Kramer,1979
All That Jazz,1979
Breaking Away,1979
Norma Rae,1979
Ordinary People,1980
Coal Miner's Daughter,1980
Raging Bull,1980
Tess,1980
On Golden Pond,1981
Reds,1981
Tootsie,1982
The Verdict,1982
Terms of Endearment,1983
The Big Chill,1983
The Dresser,1983
The Right Stuff,1983
Tender Mercies,1983
Amadeus,1984
A Passage to India,1984
Places in the Heart,1984
A Soldier's Story,1984
Out of Africa,1985
The Color Purple,1985
Kiss of the Spider Woman,1985
Prizzi's Honor,1985
Platoon,1986
Children of a Lesser God,1986
The Last Emperor,1987
Broadcast News,1987
Fatal Attraction,1987
Moonstruck,1987
Rain Man,1988
The Accidental Tourist,1988
Dangerous Liaisons,1988
Mississippi Burning,1988
Working Girl,1988
Driving Miss Daisy,1989
Born on the Fourth of July,1989
Field of Dreams,1989
Dances with Wolves,1990
Awakenings,1990
Ghost,1990
The Godfather Part III,1990
Beauty and the Beast,1991
Bugsy,1991
JFK,1991
The Prince of Tides,1991
A Few Good Men,1992
Scent of a Woman,1992
The Fugitive,1993
In the Name of the Father,1993
The Shawshank Redemption,1994
Braveheart,1995
Apollo 13,1995
Il Postino: The Postman,1995
Jerry Maguire,1996
Secrets & Lies,1996
As Good as It Gets,1997
Good Will Hunting,1997
Life Is Beautiful,1998
The Thin Red Line,1998
The Cider House Rules,1999
The Green Mile,1999
The Insider,1999
Chocolat,2000
Crouching Tiger Hidden Dragon,2000
Traffic,2000
Gosford Park,2001
In the Bedroom,2001
Mystic River,2003
Seabiscuit,2003
Million Dollar Baby,2004
Ray,2004
Munich,2005
Letters from Iwo Jima,2006
Michael Clayton,2007
The Blind Side,2009
District 9,2009
Inglourious Basterds,2009
A Serious Man,2009
Up,2009
The Fighter,2010
