Year,Actor,Character,Film,
1963,Rex Harrison ,Julius Caesar,Lawrence of Arabia,Cleopatra
1963,Steve McQueen,Rocky Papasano,Lawrence of Arabia,Love with the Proper Stranger
1963,Paul Newman ,Hud Bannon,Lawrence of Arabia,Hud
1963,Gregory Peck,Captain Josiah Newman,Lawrence of Arabia,"Captain Newman, M.D."
1963,Tom Tryon,Stephen Fermoyle,Lawrence of Arabia,The Cardinal
1964,Peter O'Toole ,King Henry II,Becket,
1964,Richard Burton ,Thomas Becket,Lawrence of Arabia,Becket
1964,Anthony Franciosa,Juan Luis Rodriguez,Lawrence of Arabia,Rio Conchos
1964,Fredric March,President Lyman,Lawrence of Arabia,Seven Days in May
1964,Anthony Quinn ,Alexis Zorba,Lawrence of Arabia,Zorba the Greek
1965,Omar Sharif ,Yuri Zhivago,Doctor Zhivago,
1965,Rex Harrison,Pope Julius II,Lawrence of Arabia,The Agony and the Ecstasy
1965,Sidney Poitier,Gordon Ralfe,Lawrence of Arabia,A Patch of Blue
1965,Rod Steiger ,Sol Nazerman,Lawrence of Arabia,The Pawnbroker
1965,Oskar Werner ,Willie Schumann,Lawrence of Arabia,Ship of Fools
1966,Paul Scofield ,Sir Thomas More,A Man for All Seasons,
1966,Richard Burton ,George,Lawrence of Arabia,Who's Afraid of Virginia Woolf?
1966,Michael Caine ,Alfie,Lawrence of Arabia,Alfie
1966,Steve McQueen ,Machinist's Mate 1st Class Jake Holman,Lawrence of Arabia,The Sand Pebbles
1966,Max von Sydow,Reverend Abner Hale,Lawrence of Arabia,Hawaii
1967,Rod Steiger ,Police Chief Bill Gillespie,In the Heat of the Night,
1967,Alan Bates,Gabriel Oak,Lawrence of Arabia,Far from the Madding Crowd
1967,Warren Beatty ,Clyde Barrow,Lawrence of Arabia,Bonnie and Clyde
1967,Paul Newman ,"Lucas ""Luke"" Jackson",Lawrence of Arabia,Cool Hand Luke
1967,Sidney Poitier,Detective Virgil Tibbs,Lawrence of Arabia,In the Heat of the Night
1967,Spencer Tracy ,Matt Drayton,Lawrence of Arabia,Guess Who's Coming to Dinner
1968,Peter O'Toole ,King Henry II,The Lion in Winter,
1968,Alan Arkin ,John Singer,Lawrence of Arabia,The Heart Is a Lonely Hunter
1968,Alan Bates ,Yakov Bok,Lawrence of Arabia,The Fixer
1968,Tony Curtis,Albert DeSalvo,Lawrence of Arabia,The Boston Strangler
1968,Cliff Robertson ,Charlie Gordon,Lawrence of Arabia,Charly
1969,John Wayne ,Rooster Cogburn,True Grit,
1969,Alan Arkin,"Abraham ""Popi"" Rodriguez",Lawrence of Arabia,Popi
1969,Richard Burton ,King Henry VIII,Lawrence of Arabia,Anne of the Thousand Days
1970,George C. Scott ,George S. Patton,Patton,
1970,Melvyn Douglas ,Tom Garrison,I Never Sang for My Father,
1970,James Earl Jones ,Jack Jefferson,The Great White Hope,
1970,Jack Nicholson ,Robert Eroica Dupea,Five Easy Pieces,
1970,Ryan O'Neal ,Oliver Barret IV,Love Story,
1971,Gene Hackman ,"Detective Jimmy ""Popeye"" Doyle",The French Connection,
1971,Peter Finch ,Daniel Hirsh,Sunday Bloody Sunday,
1971,Malcolm McDowell,Alex DeLarge,A Clockwork Orange,
1971,Jack Nicholson,Jonathan Fuerst,Carnal Knowledge,
1971,George C. Scott ,Dr. Herbert Bock,The Hospital,
1972,Marlon Brando ,Vito Corleone,The Godfather,
1972,Michael Caine ,Milo Tindle,Sleuth,
1972,Laurence Olivier ,Andrew Wyke,Sleuth,
1972,Al Pacino  (nominated Academy Award for Best Supporting Actor),Michael Corleone,Sleuth,The Godfather
1972,Jon Voight,Ed,Sleuth,Deliverance
1973,Al Pacino ,Frank Serpico,Serpico,
1973,Robert Blake,John Wintergreen,Sleuth,Electra Glide in Blue
1973,Jack Lemmon ,Harry Stoner,Sleuth,Save the Tiger
1973,Steve McQueen,"Henri ""Papillon"" Charrière",Sleuth,Papillon
1973,Jack Nicholson ,"Signalman 1st Class Billy L. ""Badass"" Buddusky",Sleuth,The Last Detail
1974,Jack Nicholson ,"J. J. ""Jake"" Gittes",Chinatown,
1974,James Caan,Axel Freed,Sleuth,The Gambler
1974,Gene Hackman,Harry Caul,Sleuth,The Conversation
1974,Dustin Hoffman ,Lenny Bruce,Sleuth,Lenny
1974,Al Pacino ,Michael Corleone,Sleuth,The Godfather Part II
1975,Jack Nicholson ,"Randle Patrick ""Mac"" McMurphy",One Flew Over the Cuckoo's Nest,
1975,Gene Hackman,"Detective Jimmy ""Popeye"" Doyle",Sleuth,French Connection II
1975,Al Pacino ,Sonny Wortzik,Sleuth,Dog Day Afternoon
1975,Maximilian Schell ,Arthur Goldman,Sleuth,The Man in the Glass Booth
1975,James Whitmore ,Harry S. Truman,Sleuth,"Give 'em Hell, Harry!"
1976,Peter Finch ,Howard Beale,Network,
1976,David Carradine,Woody Guthrie,Sleuth,Bound for Glory
1976,Robert De Niro ,Travis Bickle,Sleuth,Taxi Driver
1976,Dustin Hoffman,"""Babe"" Levy",Sleuth,Marathon Man
1976,Sylvester Stallone ,Rocky Balboa,Sleuth,Rocky
1977,Richard Burton ,Dr. Martin Dysart,Equus,
1977,Marcello Mastroianni ,Gabriele,Sleuth,A Special Day
1977,Al Pacino,Bobby Deerfield,Sleuth,Bobby Deerfield
1977,Gregory Peck,Douglas MacArthur,Sleuth,MacArthur
1977,Henry Winkler,Jack Dunne,Sleuth,Heroes
1978,Jon Voight ,Luke Martin,Coming Home,
1978,Brad Davis,Billy Hayes,Sleuth,Midnight Express
1978,Robert De Niro ,Michael Vronsky,Sleuth,The Deer Hunter
1978,Anthony Hopkins,"Corky Withers / ""Fats""",Sleuth,Magic
1978,Gregory Peck,Dr. Josef Mengele,Sleuth,The Boys from Brazil
1979,Dustin Hoffman ,Ted Kramer,Kramer vs. Kramer,
1979,Jack Lemmon ,Jack Godell,Sleuth,The China Syndrome
1979,Al Pacino ,Arthur Kirkland,Sleuth,...And Justice for All
1979,Jon Voight,Billy Flynn,Sleuth,The Champ
1979,James Woods,Gregory Powell,Sleuth,The Onion Field
1980,Robert De Niro ,Jake LaMotta,Raging Bull,
1980,John Hurt ,John Merrick,The Elephant Man,
1980,Jack Lemmon ,Scottie Templeton,Tribute,
1980,Peter O'Toole ,Eli Cross,The Stunt Man,
1980,Donald Sutherland,Calvin Jarrett,Ordinary People,
1981,Henry Fonda ,Norman Thayer,On Golden Pond,
1981,Warren Beatty ,John Reed,Reds,
1981,Timothy Hutton,Brian Moreland,Taps,
1981,Burt Lancaster ,Lou Pascal,Atlantic City,
1981,Treat Williams,Daniel Ciello,Prince of the City,
1982,Ben Kingsley ,Mahatma Gandhi,Gandhi,
1982,Albert Finney,George Dunlap,Shoot the Moon,
1982,Richard Gere,Zack Mayo,An Officer and a Gentleman,
1982,Jack Lemmon ,Ed Horman,Missing,
1982,Paul Newman ,Frank Galvin,The Verdict,
1983,Tom Courtenay ,Norman,The Dresser,
1983,Robert Duvall ,Mac Sledge,Tender Mercies,
1983,Tom Conti ,Gowan McGland,"Reuben, Reuben",
1983,Richard Farnsworth,Bill Miner,The Grey Fox,
1983,Albert Finney ,Sir,The Dresser,
1983,Al Pacino,Tony Montana,Scarface,
1983,Eric Roberts,Paul Snider,Star 80,
1984,F. Murray Abraham ,Antonio Salieri,Amadeus,
1984,Jeff Bridges ,"Starman (""Scott Hayden"")",Starman,
1984,Albert Finney ,Geoffrey Firmin,Under the Volcano,
1984,Tom Hulce ,Wolfgang Amadeus Mozart,Amadeus,
1984,Sam Waterston ,Sydney Schanberg,The Killing Fields,
1985,Jon Voight ,Oscar Manheim,Runaway Train,
1985,Harrison Ford ,John Book,Witness,
1985,Gene Hackman,Harry MacKenzie,Twice in a Lifetime,
1985,William Hurt ,Luis Molina,Kiss of the Spider Woman,
1985,Raúl Juliá,Valentin Arregui,Kiss of the Spider Woman,
1986,Bob Hoskins ,George,Mona Lisa,
1986,Harrison Ford,Allie Fox,Kiss of the Spider Woman,The Mosquito Coast
1986,Dexter Gordon ,Dale Turner,Kiss of the Spider Woman,Round Midnight
1986,William Hurt ,James Leeds,Kiss of the Spider Woman,Children of a Lesser God
1986,Jeremy Irons,Father Gabriel,Kiss of the Spider Woman,The Mission
1986,Paul Newman ,Fast Eddie Felson,Kiss of the Spider Woman,The Color of Money
1987,Michael Douglas ,Gordon Gekko,Wall Street,
1987,John Lone,Puyi,Kiss of the Spider Woman,The Last Emperor
1987,Jack Nicholson ,Francis Phelan,Kiss of the Spider Woman,Ironweed
1987,Nick Nolte,Lee Umstetter,Kiss of the Spider Woman,Weeds
1987,Denzel Washington  (nominated for Academy Award for Best Supporting Actor),Steve Biko,Kiss of the Spider Woman,Cry Freedom
1988,Dustin Hoffman ,Raymond Babbitt,Rain Man,
1988,Gene Hackman ,Rupert Anderson,Kiss of the Spider Woman,Mississippi Burning
1988,Tom Hulce,Dominick Luciano,Kiss of the Spider Woman,Dominick and Eugene
1988,Edward James Olmos ,Jaime Escalante,Kiss of the Spider Woman,Stand and Deliver
1988,Forest Whitaker,Charlie Parker,Kiss of the Spider Woman,Bird
1989,Tom Cruise ,Ron Kovic,Born on the Fourth of July,
1989,Daniel Day-Lewis ,Christy Brown,Kiss of the Spider Woman,My Left Foot
1989,Jack Lemmon,Jake Tremont,Kiss of the Spider Woman,Dad
1989,Al Pacino,Frank Keller,Kiss of the Spider Woman,Sea of Love
1989,Robin Williams ,John Keating,Kiss of the Spider Woman,Dead Poets Society
1990,Jeremy Irons ,Claus von Bülow,Reversal of Fortune,
1990,Kevin Costner ,Lt. John J. Dunbar / Dances with Wolves,Dances with Wolves,
1990,Richard Harris ,Bull McCabe,The Field,
1990,Al Pacino,Michael Corleone,The Godfather Part III,
1990,Robin Williams,Dr. Malcolm Sayer,Awakenings,
1991,Nick Nolte ,Tom Wingo,The Prince of Tides,
1991,Warren Beatty ,Bugsy Siegel,Bugsy,
1991,Kevin Costner,Jim Garrison,JFK,
1991,Robert De Niro ,Max Cady,Cape Fear,
1991,Anthony Hopkins ,Dr. Hannibal Lecter,The Silence of the Lambs,
1992,Al Pacino ,Lieutenant Colonel Frank Slade,Scent of a Woman,
1992,Tom Cruise,"Lt. Daniel Kaffee, USN, JAG Corps",A Few Good Men,
1992,Robert Downey Jr. ,Charlie Chaplin,Chaplin,
1992,Jack Nicholson,Jimmy Hoffa,Hoffa,
1992,Denzel Washington ,Malcolm X,Malcolm X,
1993,Tom Hanks ,Andrew Beckett,Philadelphia,
1993,Daniel Day-Lewis ,Gerry Conlon,In the Name of the Father,
1993,Harrison Ford,Dr. Richard Kimble,The Fugitive,
1993,Anthony Hopkins ,James Stevens,The Remains of the Day,
1993,Liam Neeson ,Oskar Schindler,Schindler's List,
1994,Tom Hanks ,Forrest Gump,Forrest Gump,
1994,Morgan Freeman ,"Ellis Boyd ""Red"" Redding",The Shawshank Redemption,
1994,Paul Newman ,"Donald ""Sully"" Sullivan",Nobody's Fool,
1994,Brad Pitt,Tristan Ludlow,Legends of the Fall,
1994,John Travolta ,Vincent Vega,Pulp Fiction,
1995,Nicolas Cage ,Ben Sanderson,Leaving Las Vegas,
1995,Richard Dreyfuss ,Glenn Holland,Mr. Holland's Opus,
1995,Anthony Hopkins ,Richard Nixon,Nixon,
1995,Ian McKellen,King Richard III,Richard III,
1995,Sean Penn ,Matthew Poncelet,Dead Man Walking,
1996,Geoffrey Rush ,David Helfgott,Shine,
1996,Ralph Fiennes ,László de Almásy,The English Patient,
1996,Mel Gibson,Tom Mullen,Ransom,
1996,Woody Harrelson ,Larry Flynt,The People vs. Larry Flynt,
1996,Liam Neeson,Michael Collins,Michael Collins,
1997,Peter Fonda ,Ulee Jackson,Ulee's Gold,
1997,Matt Damon ,Will Hunting,Good Will Hunting,
1997,Daniel Day-Lewis,Danny Flynn,The Boxer,
1997,Leonardo DiCaprio,Jack Dawson,Titanic,
1997,Djimon Hounsou,Joseph Cinqué,Amistad,
1998,Jim Carrey ,Truman Burbank,The Truman Show,
1998,Stephen Fry,Oscar Wilde,Wilde,
1998,Tom Hanks ,Captain John H. Miller,Saving Private Ryan,
1998,Ian McKellen ,James Whale,Gods and Monsters,
1998,Nick Nolte ,Wade Whitehouse,Affliction,
1999,Denzel Washington ,"Rubin ""Hurricane"" Carter",The Hurricane,
1999,Russell Crowe ,Jeffrey Wigand,The Insider,
1999,Matt Damon,Tom Ripley,The Talented Mr. Ripley,
1999,Richard Farnsworth ,Alvin Straight,The Straight Story,
1999,Kevin Spacey ,Lester Burnham,American Beauty,
2000,Tom Hanks ,Chuck Noland,Cast Away,
2000,Javier Bardem ,Reinaldo Arenas,Before Night Falls,
2000,Russell Crowe ,Maximus Decimus Meridius,Gladiator,
2000,Michael Douglas,Grady Tripp,Wonder Boys,
2000,Geoffrey Rush ,Marquis de Sade,Quills,
2001,Russell Crowe ,John Nash,A Beautiful Mind,
2001,Will Smith ,Muhammad Ali,Ali,
2001,Kevin Spacey,Quoyle,The Shipping News,
2001,Billy Bob Thornton,Ed Crane,The Man Who Wasn't There,
2001,Denzel Washington ,Detective Alonzo Harris,Training Day,
2002,Jack Nicholson ,Warren R. Schmidt,About Schmidt,
2002,Adrien Brody ,Władysław Szpilman,The Pianist,
2002,Michael Caine ,Thomas Fowler,The Quiet American,
2002,Daniel Day-Lewis ,"William ""Bill the Butcher"" Cutting",Gangs of New York,
2002,Leonardo DiCaprio,"Frank Abagnale, Jr.",Catch Me If You Can,
2003,Sean Penn ,Jimmy Markum,Mystic River,
2003,Russell Crowe,Captain Jack Aubrey,Master and Commander: The Far Side of the World,
2003,Tom Cruise,Captain Nathan Algren,The Last Samurai,
2003,Ben Kingsley ,Massoud Behrani,House of Sand and Fog,
2003,Jude Law ,W. P. Inman,Cold Mountain,
2004,Leonardo DiCaprio ,Howard Hughes,The Aviator,
2004,Javier Bardem,Ramón Sampedro,The Sea Inside,
2004,Don Cheadle ,Paul Rusesabagina,Hotel Rwanda,
2004,Johnny Depp ,J. M. Barrie,Finding Neverland,
2004,Liam Neeson,Alfred Kinsey,Kinsey,
2005,Philip Seymour Hoffman ,Truman Capote,Capote,
2005,Russell Crowe,James J. Braddock,Cinderella Man,
2005,Terrence Howard ,DJay,Hustle & Flow,
2005,Heath Ledger ,Ennis Del Mar,Brokeback Mountain,
2005,David Strathairn ,Edward R. Murrow,"Good Night, and Good Luck.",
2006,Forest Whitaker ,Idi Amin,The Last King of Scotland,
2006,Leonardo DiCaprio ,Danny Archer,Blood Diamond,
2006,Leonardo DiCaprio,"William ""Billy"" Costigan, Jr.",The Departed,
2006,Peter O'Toole ,Maurice Russell,Venus,
2006,Will Smith ,Chris Gardner,The Pursuit of Happyness,
2007,Daniel Day-Lewis ,Daniel Plainview,There Will Be Blood,
2007,George Clooney ,Michael Clayton,Michael Clayton,
2007,James McAvoy,Robbie Turner,Atonement,
2007,Viggo Mortensen ,Nikolai Luzhin,Eastern Promises,
2007,Denzel Washington,Frank Lucas,American Gangster,
2008,Mickey Rourke ,"Randy ""The Ram"" Robinson",The Wrestler,
2008,Leonardo DiCaprio,Frank Wheeler,Revolutionary Road,
2008,Frank Langella ,Richard Nixon,Frost/Nixon,
2008,Sean Penn ,Harvey Milk,Milk,
2008,Brad Pitt ,Benjamin Button,The Curious Case of Benjamin Button,
2009,Jeff Bridges ,"Otis ""Bad"" Blake",Crazy Heart,
2009,George Clooney ,Ryan Bingham,Up in the Air,
2009,Colin Firth ,George Falconer,A Single Man,
2009,Morgan Freeman ,Nelson Mandela,Invictus,
2009,Tobey Maguire,Captain Sam Cahill,Brothers,
2010,Colin Firth ,King George VI,The King's Speech,
2010,Jesse Eisenberg ,Mark Zuckerberg,The Social Network,
2010,James Franco ,Aron Ralston,127 Hours,
2010,Ryan Gosling,Dean Pereira,Blue Valentine,
2010,Mark Wahlberg,Micky Ward,The Fighter,
2011,George Clooney ,Matt King,The Descendants,
2011,Leonardo DiCaprio,J. Edgar Hoover,J. Edgar,
2011,Michael Fassbender,Brandon Sullivan,Shame,
2011,Ryan Gosling,Stephen Meyers,The Ides of March,
2011,Brad Pitt ,Billy Beane,Moneyball,
2012,Daniel Day-Lewis ,Abraham Lincoln,Lincoln,
2012,Richard Gere,Robert Miller,Arbitrage,
2012,John Hawkes,Mark O'Brien,The Sessions,
2012,Joaquin Phoenix ,Freddie Quell,The Master,
2012,Denzel Washington ,"William ""Whip"" Whitaker, Sr.",Flight,
2013,Matthew McConaughey ,Ron Woodroof,Dallas Buyers Club,
2013,Chiwetel Ejiofor ,Solomon Northup,12 Years a Slave,
2013,Idris Elba,Nelson Mandela,Mandela: Long Walk to Freedom,
2013,Tom Hanks,Captain Richard Phillips,Captain Phillips,
2013,Robert Redford,Our Man,All Is Lost,
2014,Eddie Redmayne ,Stephen Hawking,The Theory of Everything,
2014,Steve Carell ,John Eleuthère du Pont,Foxcatcher,
2014,Benedict Cumberbatch ,Alan Turing,The Imitation Game,
2014,Jake Gyllenhaal,"Louis ""Lou"" Bloom",Nightcrawler,
2014,David Oyelowo,Martin Luther King Jr.,Selma,
2015,Leonardo DiCaprio ,Hugh Glass,The Revenant,
2015,Bryan Cranston ,Dalton Trumbo,Trumbo,
2015,Michael Fassbender ,Steve Jobs,Steve Jobs,
2015,Eddie Redmayne ,Lili Elbe,The Danish Girl,
2015,Will Smith,Dr. Bennet Omalu,Concussion,
2016,Casey Affleck ,Lee Chandler,Manchester by the Sea,
2016,Joel Edgerton,Richard Loving,Loving,
2016,Andrew Garfield ,Desmond T. Doss,Hacksaw Ridge,
2016,Viggo Mortensen ,Ben Cash,Captain Fantastic,
2016,Denzel Washington ,Troy Maxson,Fences,
1943,Paul Lukas ,Kurt Muller,Watch on the Rhine,
1944,Alexander Knox ,Woodrow Wilson,Wilson,
1945,Ray Milland ,Don Birnam,The Lost Weekend,
1946,Gregory Peck ,Penny Baxter,The Yearling,
1947,Ronald Colman ,Anthony John,A Double Life,
1948,Laurence Olivier ,"Hamlet, Prince of Denmark",Hamlet,
1949,Broderick Crawford ,Willie Stark,All the King's Men,
1949,Richard Todd ,"Cpl. Lachlan ""Lachie"" MacLachlan",The Hasty Heart,
